,PropertyValue2014,PropertyValue2015,PropertyValue2016,PropertyValue2017,PropertyValue2018
74,22.07945,23.5702,24.64565,26.01785,27.08285
75,14.7416,15.714,16.5084,17.2995,18.4911
76,23.70605,24.6216,25.99435,26.8529,28.1812
77,23.2078,24.6459,25.5073,28.1278,29.4
78,24.7036,25.449,26.3,27.8048,29.1527
79,25.4242,27.2868,28.63,30.5854,32.4445
80,25.3063,26.542,27.5265,29.2753,31.3849
81,0,0,0,0,0
82,38.75,38.75,41.9,41.9,41.9
83,3.6302,3.70265,3.75905,3.83415,3.91075
84,0,0,0,0,0
85,27.86585,29.4003,30.76965,32.31055,34.377
86,30.71865,32.0369,33.05315,34.7781,36.99515
87,29.5315,31.2799,32.46745,33.8406,35.71905
88,48.49545,50.5081,53.2196,55.6402,58.1737
89,28.9706,30.56845,31.78215,33.0168,34.2097
90,34.7836,36.4267,38.5063,40.421,42.5414
91,27.5915,28.8837,30.3458,31.5737,33.3524
92,34.6565,36.4,37.9292,40.652,42.4034
93,29.0716,30.56995,31.7163,33.2225,35.0017
94,39.76235,41.2278,43.75255,45.68725,48.8358
95,54.4022,56.64655,58.70695,61.9706,64.03795
96,32,33.146,34.5396,36.318,38.2829
97,29.855,31.0205,31.5714,33.3067,34.8829
98,27.1743,28.3667,30.2182,31.4827,33.2927
99,24.3654,25.2979,26.6767,28.0266,29.1312
100,36.8753,38.4787,40.1255,41.9499,44.1018
101,20.1087,21.1026,22.2927,23.3334,25.20275
102,25.138,26.2616,28.5297,29.7308,30.6315
103,3.3535,3.48035,3.4364,3.604,4.0939
104,54.40835,56.5649,59.23195,61.72325,66.0719
105,46.6879,48.9149,50.7593,53.6914,56.8507
106,34.92435,36.15165,37.6667,38.94745,40.91945
107,23.6956,24.8,26.1917,27.5,29.7617
108,35.8,37.0851,38.0482,39.4983,41.5457
109,28.9049,29.9093,31.0429,32.3494,33.79345
110,31.05525,32.9717,34.5009,36.27125,38.35635
111,25.1977,26.2616,26.9758,28.5955,30.4359
112,50.2045,52.7645,54.9082,58.2259,60.1772
113,0,0,0,0,0
114,36.59985,38.46525,39.59465,41.12395,43.3
115,32.7725,34.3443,35.5445,37.5208,39.2855
116,29.1,30.4039,31.9018,33.5031,36.378
117,33.7877,35.1157,37.3483,39.6135,41.8246
118,29.5725,31.2118,32.4845,33.863,35.47665
119,30.8393,32.3085,34,36.2847,38.9
120,32.1755,34.0585,36.8126,39.1916,41.2344
121,29.5,31.0726,32.0669,33.2867,34.8333
122,27.1182,28.1,28.89575,30.2393,31.9478
123,22.4468,23.2163,23.99,25.4085,26.8288
124,24.14695,24.62925,25.9777,26.9868,29.9356
125,30.122,31.5985,32.7168,34.2092,35.2809
126,29.42595,30.74915,31.946,33.43195,35.32445
127,31.3357,32.5725,33.7688,35.5759,37.1867
128,29.7625,31.4452,32.133,33.8086,35.6379
129,29.7859,31.0203,32.4204,33.5498,35.0541
130,13.05915,13.62445,14.67955,16.13065,17.4302
131,50.44405,51.44985,66.35135,53.8088,57.5
132,23.5,24.5208,25.3749,26.7923,30.0495
133,21.9653,23.1937,23.8553,25.3496,26.6036
134,22.6,24.2,25.2209,26.1358,27.5705
135,18.3383,19.776,20.60815,21.65045,23.31305
136,23.8766,24.8285,25.9,26.6736,27.5972
137,22.1061,22.95845,23.74485,24.5831,25.73935
138,22.93855,23.83675,24.60415,25.4932,26.3431
139,19.51895,20.36715,21.5075,22.5196,23.77115
140,16.9064,17.7,18.7178,19.9656,21.2131
141,25.3003,26.2514,26.9237,28.7878,30.4
142,51.65725,52.68925,53.49265,54.5624,70.67525
143,22.67745,23.27235,24.243,25.25005,26.63685
144,16.5451,17.4725,18.3979,19.1949,20.5668
145,23.16675,24.05135,24.8845,25.7411,26.65975
146,26.42325,27.55715,28.5483,29.68085,30.6615
147,24.4644,25.7149,26.5257,27.4064,28.3808
148,24.276,25.1029,26.1538,27.4217,28.3147
149,22.549,23.80985,24.61865,25.3128,26.6456
150,24.7868,25.6,26.6162,27.8047,28.4204
151,34.76505,36.0898,39,43.2036,44.38
152,14.3804,14.6676,16.3167,17.85,19.2473
153,26.6203,27.711,28.8393,29.7087,30.3569
154,26.2932,27.68585,28.50775,29.72985,30.6588
155,24.6927,25.18595,25.89945,28.90745,29.9223
156,20.6748,21.2652,21.5894,22.7453,23.2001
157,14.6316,15.2998,15.84875,16.7429,17.5834
158,24.5911,25.7446,26.662,27.7387,28.712
159,21.929,22.913,23.8227,24.8201,26.3574
160,24.3032,25.22665,26.50555,27.8096,28.93965
161,25.7169,26.9928,28.1858,29.1783,30.3686
162,15.2689,15.7803,16.2439,16.838,17.8559
163,27.7734,30.0009,31.7526,33.7305,35.8226
164,24.80505,25.81175,26.77265,28.0595,29.10305
165,21.6912,22.5564,23.1402,24.16835,25.26205
166,22.2477,22.9315,24.3659,25.3836,27.0457
167,25.98535,27.49645,28.3961,29.26405,30.4351
168,22.6993,23.1307,23.701,24.203,25.2269
169,23.8388,24.99685,25.6695,26.86505,28.22935
170,24.1207,25.1553,25.9513,26.7843,28.128
171,28.6569,30.0507,31.2769,32.8098,34.6478
172,22.0795,23.12545,23.70315,24.56195,25.5025
173,22.5697,23.2117,23.9252,24.4658,25.3045
174,20.593,21.5594,22.0741,23.7094,24.4064
175,23.038,24.1565,25.1242,26.2898,27.2639
176,28.43405,29.69305,30.9415,32.64895,33.6521
177,24.3861,25.2304,26.0928,27.2408,28.2
178,25.25165,26.6543,27.55715,29.51845,30.85275
179,22.3643,23.6001,24.27165,25.24285,26.3816
180,23.6921,25.8033,27.3746,29.0283,30.5479
181,26.1829,27.6942,28.65105,29.8371,31.23535
182,26.5,29.1691,31.1971,32.6471,34.4485
183,26.6,30.1,32.177,34,35.7
184,31.64955,33.3478,34.39405,35.97805,37.0648
185,19.4679,20.0594,20.4854,21.4523,23.2207
186,24.3705,25.5824,26.9925,28.09025,29.3539
187,28.3127,29.5264,30.50315,31.574,33.4331
188,29.5329,31.9799,33.225,34.7783,36.2159
189,29.714,31.2887,32.4451,34.0907,35.7
190,28.6362,30.2466,32.2756,34.3034,36.1192
191,33.94045,36.0428,37.75285,39.17265,41.57725
192,28.8931,29.79405,31.25355,34.15075,35.8215
193,24.0227,25.4997,27.131,28.7147,30.38735
194,35.3497,37.5939,40.0949,42.0571,44.2338
195,28.34635,29.37185,30.93205,32.4291,34.35
196,34.4168,36.7675,38.3089,40.3864,42.9841
197,28.2832,29.3525,30.4633,32.2025,33.66
198,32.6425,33.9895,35.1466,37.3115,38.5257
199,43.6359,45.9611,48.3689,51.0928,55.3814
200,32.37285,33.82085,35.7279,37.614,39.9835
201,26.9271,27.8945,29.3157,30.9081,31.6957
202,27.49655,28.44975,30.1661,31.34725,33.70435
203,27.659,29.20565,30.2643,31.8983,33.53805
204,23.7163,24.6021,26.4966,28.9591,30.2756
205,27.5641,28.3767,29.9442,31.6321,32.47745
206,26.1279,28.4615,31.1869,33.4033,35.984
207,26.7873,28.8645,30.6205,33.1065,34.632
208,32.0953,34.7033,36.1475,39.2917,41.5457
209,38.873,40.1844,42.223,44.324,47.6429
210,41.73445,43.5672,45.23125,48.447,51.6553
211,41.29975,43.52935,45.365,47.9808,51.8537
212,34.2631,35.5,37.6142,38.8331,40.5213
213,36.0485,37.37,39.5133,41.5064,43.8349
214,40.3,43.00095,44.36625,46.246,49.4496
215,34.4054,35.5588,38.3,41.0523,43.2657
216,32.96745,33.86245,35.2262,36.3786,37.95685
217,34.9785,37.01605,38.98045,42.44565,44.74745
218,27.1141,28.279,29.1725,30.345,33.2207
219,35.7,37.1,39.01645,41.7607,44.2319
220,33.8484,35.7,38.5304,40.8801,45.9131
221,33.17705,34.9772,36.0347,38.45175,40.9544
222,46.5427,50.252,53.5752,56.2996,59.16
223,18.1987,20.2,21,22.2643,24.188
224,25.5,27.3641,28.33865,29.5707,31.95145
225,22.8914,24.2495,25.5529,27.4221,28.25095
226,25.69,26.9823,28.7141,30.0308,31.9262
227,21.47805,23.39265,25.6633,28.76395,31.48585
228,21.7,22.62585,23.32775,25.3,26.8346
229,31.8743,33.7415,35.3677,37.343,39.1394
230,21.7,21.9436,22.7457,26.4,28
231,28.416,29.1566,30.5744,32.801,35.5099
232,23.9244,25.8538,26.4852,27.7526,29.047
233,32.86565,33.95165,35.4229,37.75895,39.4164
234,28.5778,30.0056,31.3627,33.0649,34.4047
235,33.3566,35.3243,36.674,37.6086,39.6327
236,31.1118,32.4064,34.1724,35.8766,39.5021
237,26.9624,28.2086,29.9857,31.6784,33.1563
238,26.58535,28.2237,29.7,31.126,32.9414
239,28.65505,30.27955,31.7877,33.4555,34.92565
240,27,30.3339,31.32445,32.99685,34.45945
241,27.0894,28.8825,31.2531,32.31465,34.92835
242,28.73995,30.5234,31.9483,33.0258,34.3648
243,30.78435,32.48085,33.48835,34.7,36.76655
244,28.9378,30.13015,31.76915,32.7202,36.19415
245,34.4399,35.49045,37.4294,39.28165,42.22225
246,29.6596,31.5761,33.6064,36.5656,40.2216
247,22.5505,25.8118,26.9236,28.9675,30.4836
248,26.6928,27.7121,30.2939,31.1592,33.0662
249,34.00985,36.297,38.48655,39.99165,43.47345
250,36.86035,38.15215,40.3193,41.7586,43.71675
251,32.1985,33.2996,35.5648,38.5365,41.7
252,40.63325,42.3986,44.46285,47.4265,49.9138
253,35.0848,37.31495,39.5333,41.0634,43.1
254,31.013,32.2951,33.7409,35.3949,37.6624
255,33.93,36.00995,38.4709,40.3864,42.6653
256,42.5,44.98595,47.7302,50.5547,53.07265
257,22.7936,24.3544,25.2978,27.744,28.425
258,25.482,26.8502,27.7391,29.2207,30.5494
259,26.3306,27.7676,28.978,30.6531,32.3591
260,26.7873,27.91125,29.4064,30.5441,32.27985
261,25.6157,26.3685,27.5868,28.897,29.991
262,25.9,27.24425,28.4056,29.6724,31.6964
263,26.6403,27.7158,28.7131,30.0576,32.0162
264,24.2396,25.7878,27.0821,29.0244,30.166
265,22.3238,22.9921,23.8401,24.5866,25.7
266,26.6724,27.8581,29.6465,31.1846,33.183
267,26.1168,27.13565,28.8361,30.3888,31.9745
268,28.5925,30.0725,31.0293,32.7818,34.3536
269,27.36325,28.5362,29.7447,31.65665,33.7029
270,28.8987,30.1386,31.6212,33.201,34.8709
271,27.1143,28.4266,29.6597,31.3511,33.4659
272,24.9833,26.08355,26.6958,27.80465,28.6846
273,25.82045,26.84965,27.6948,28.917,30.37225
274,20.9022,21.947,22.6393,23.5473,24.3183
275,25.93825,26.9817,28.181,30.42105,31.8144
276,33.7011,35.7542,37.7875,39.7016,42.0219
277,23.2799,24.3218,25.0193,26.4083,27.5859
278,24.6842,25.9082,27.4116,29.1812,31.0803
279,24.3098,25.7606,26.5257,27.4533,28.4423
280,25.44965,26.6841,27.4533,29.1782,30.5729
281,31.5145,32.7397,34.4836,35.8143,37.4772
282,24.43855,25.53145,26.6577,28.12955,29.5812
283,28.0091,29.3258,30.5086,31.4137,32.538
284,30.051,31.4889,33.1545,34.9025,36.4284
285,28.9671,30.1663,31.3856,32.4673,34.4438
286,24.266,25.5,26.505,27.7397,29.48305
287,28.6277,30.06995,31.56035,32.99575,33.9683
288,61.0677,62.28775,63.23755,64.50215,69.6944
289,20.5,22.9,24.1,25.1383,26.7322
290,46.0769,47.6442,50.0809,52.8132,54.7664
291,35.1679,36.7514,38.5215,40.0433,42.4388
292,36.568,37.6245,38.9609,40.3193,42.4406
293,59.42535,61.8032,63.86435,66.38705,69.246
294,18.971,20.6124,21.9783,23.8551,25.4559
295,27.31535,27.86105,28.7228,29.65165,31.71975
296,23.04895,24.1423,25.2679,26.19775,28.25455
297,26.1797,27.1693,27.9602,29.2116,30.3872
298,20.06545,21.5269,23.3025,24.39075,25.9896
299,26.01085,27.13275,28.1042,29.2524,30.9057
300,28.5472,30.19345,31.64085,33.0147,35.4204
301,140.6752,147.7487,150.0018,167.8487,174.8118
302,28.7428,30.0209,31.3868,32.8436,34.4544
303,37.6243,38.935,40.3856,41.9108,43.3272
304,33.7323,35.1044,37.1459,39.8479,41.9479
305,29.7244,31.2741,32.7963,34.4834,36.1624
306,1033.6693,1054.3219,1129.06955,1151.6508,1174.6837
307,27.57245,28.8879,30.0556,32.45765,33.7123
308,34.2436,35.6668,37.3136,39.4627,43.0224
309,30.8971,32.2654,33.8231,35.4404,37.7416
310,33.4949,35.0309,36.5961,38.7277,41.362
311,41.098,43.1836,45.2901,47.697,49.9255
312,28.3279,29.2627,30.1561,31.5184,32.4442
313,41.5028,43.3892,44.7425,46.7393,49.5427
314,32.7,33.8377,35.5362,36.822,38.6887
315,48.265,50.9336,53.3257,56.002,59.2731
316,46.06725,48.1766,50.28505,53.03325,56.2821
317,41.20755,43.00715,45.03175,47.3815,50.6343
318,44.8064,46.8645,48.7279,51.2092,54.4661
319,62.0308,64.74635,67.18115,70.69685,74.03255
320,40,42.1769,44.1426,45.847,48.4811
321,66.21515,69.72945,73.27535,77.6576,83.0555
322,36.9859,38.6187,40.001,42.1213,44.4022
323,30.1546,31.9579,33.9531,35.4245,37.7199
324,29.8866,31.499,32.6757,34.3519,36.4926
325,42.3,44.9748,46.3969,48.879,51.2977
326,16.9479,18.4416,19.2451,20.452,21.9
327,20.6421,22.2556,23.06255,25.10405,26.5301
328,47.66685,48.61915,50.69535,53.8078,55.80715
329,70.11285,73.7153,77.3762,80.8275,84.95695
330,37.7063,40.3,42.4071,44.6428,47.3
331,21.2034,22.29655,23.4489,24.9884,26.256
332,26.1179,27.695,29.4219,30.8026,32.5644
333,30.69585,32.349,34.1223,36.14985,38.58755
334,59.0867,63.03705,65.7702,70.04875,73.96915
335,75.1938,78.67135,82.97995,87.28585,92.63605
336,77.8174,81.06585,84.2845,87.1659,90.68955
337,68.5568,72.10145,75.8343,78.61145,82.40865
338,72.664,75.58855,78.86075,83.6106,88.3474
339,38.2522,40.51295,41.8806,43.83115,46.3235
340,44.8029,47.89905,52.3195,54.8518,56.755
341,29.6581,30.6368,36.2435,38.3841,39.5669
342,45.6595,49.73435,52.42355,55.0286,58.00195
343,40.5466,42.32905,43.77955,45.9608,49.4935
344,26.64545,29.41145,30.0251,30.63885,32.11915
345,42.4,44.2216,47.5,50.46275,53.9493
346,54.3614,57.0195,61.1275,64.876,69.3711
347,85.0659,90.827,96.0769,103.132,111.5324
348,62.6647,66.4673,68.9555,71.9173,76.2449
349,67.0871,70.2621,73.3426,78.2658,84.0159
350,46.5,49.4372,52.0115,56.5767,60.8848
351,37.89285,39.76105,40.9134,43.32655,45.0867
352,42.266,45.4479,47.6344,50.8039,54.7222
353,45.9233,48.1069,50.9147,53.2905,55.7356
354,51.307,54.0939,57.3128,59.6136,62.84225
355,46.64085,48.9372,51.31235,54.136,57.12
356,36.6656,40.00045,40.6554,42.8437,44.83435
357,27.5,29.9214,32.6342,33.2868,36.0743
358,45.49445,48.23635,50.30055,52.94315,56.09495
359,61.29275,64.34475,67.61155,71.0404,75.63395
360,68.2247,72.6736,76.6015,80.2686,85.3205
361,55.7322,59.0649,61.399,64.2863,67.2756
362,30.7905,33.0606,34.5538,37.1384,39.04775
363,28.7785,30.489,31.5869,33.3714,35.2028
364,23.5751,24.5207,25.5238,26.1119,27.6307
365,23.94635,24.96015,25.95835,27.18395,28.40415
366,27.0265,28.399,30.3295,31.6905,33.3186
367,21.6329,22.6486,23.6946,24.95405,26.58645
368,23.0541,24.1861,24.8642,25.8171,27.5803
369,23.59475,24.7173,25.59525,27.22265,28.5675
370,22.3237,23.4161,24.29215,25.72175,26.71395
371,23.38525,25.24055,27.08745,28.20695,29.45095
372,23.4175,24.1348,25.0747,26.0292,28.1061
373,22.16305,23.19525,24.8779,25.70935,27.23935
374,22.4473,23.4192,24.199,25.2021,26.9339
375,28.2707,27.7996,29.2621,30.6198,32.2826
376,19.8085,20.84305,21.60045,22.80775,23.5295
377,24.0261,24.8996,26.0158,28.7001,31.26455
378,22.3263,23.8491,24.3762,25.2,26.4184
379,23.8225,26.2613,28.6062,30.02945,31.4435
380,18.654,19.53075,20.8834,21.7517,22.5621
381,24.21855,26.15985,27.3706,29.2906,31.7719
382,26.5409,28.28515,29.61885,31.20165,32.62585
383,20.7269,21.739,23.0855,23.8878,24.9513
384,18.71335,19.9197,20.66755,22.10755,23.4416
385,11.9467,12.5559,13.2808,14.0471,15.0166
386,18.8059,19.8569,21.0255,21.8744,23.2752
387,20.7912,21.5698,22.6335,23.7551,24.7419
388,17.7021,18.6549,19.2789,20.2606,20.8975
389,17.23395,17.9543,18.92355,19.8412,20.6239
390,26.3909,27.5519,28.6276,29.9397,31.6563
391,27.2073,29.3149,31.2028,33.1074,34.8794
392,21.37705,24.5136,25.211,27.22875,28.92235
393,25.4008,27.3914,28.3916,29.6409,31.8083
394,27.0711,28.61245,29.6205,30.2502,31.7084
395,20.0588,20.7995,21.8393,22.84835,23.84465
396,23.215,25.3449,26.9237,28.3093,30.7448
397,21.5088,22.6425,23.37445,24.95845,27.5704
398,22.4571,24.0127,25.1776,26.8083,27.4556
399,26.24095,27.09795,28.0279,30.20625,31.98275
400,26.8525,27.7159,29.6356,30.853,33.2873
401,22.00725,22.9072,25.0065,27.05045,28.5483
402,31.0812,33.7801,35.7019,37.25675,39.7281
403,31.4241,32.5971,34.8218,37.3882,38.6432
404,38.62385,41.4044,42.8458,44.9814,48
405,68.1589,70.2624,72.8364,78.9182,82.8147
406,27.1661,28.262,29.2113,31.8044,33.813
407,36.6986,38.5151,41.3803,42.9774,43.9195
408,41.3865,45.2967,48.7319,51.9883,53.868
409,35.1678,36.2214,37.0415,40.5254,46.3213
410,68.3178,74.2,77.9039,83.3337,86.7856
411,76.71435,81.5288,85.28485,89.6458,95.25255
412,43.87965,46.67785,48.54305,50.38145,52.75095
413,47.07065,50.2807,53.02135,55.81535,58.68725
414,46.5078,48.3778,51.406,54.2958,58.2563
415,40.38,42.82455,46.81005,50.0207,53.36095
416,37.69135,40.82405,44.38465,48.35,52.8565
417,46.0637,48.1895,51.57895,53.4695,55.9818
418,57.9142,61.5556,64.32,67.398,70.0558
419,28.28075,30.1958,31.72065,34.1446,36.67265
420,41.2967,42.1217,42.87015,43.8358,44.7124
421,36,38,42.26385,46.3384,49.54275
422,53.091,57.8597,62,66.2155,70
423,79.3205,85.9682,89.5648,96.8404,99.9126
424,69.56435,73.8859,75.01265,76.5128,78.04295
425,48.08645,52.0304,54.82705,56.749,60.91635
426,74.97915,76.47715,82.1899,83.8294,89.75895
427,91.8501,101.7169,103.5884,110.466,112.6753
428,48.4032,54.2281,59.8322,68.4322,77.1909
429,36.0163,38.1278,39.1611,41.5616,45.0089
430,40.8236,46.2679,48.685,53.9064,65.47635
431,55.165,58.003,61.9109,63.6865,69.258
432,37.5617,40.73675,50.3211,52.67,58.71955
433,45.84755,49.08115,53.39045,57.19925,63.74895
434,42.3589,46.0534,48.9816,56.0456,58.9758
435,54,58.4211,60.9034,64.4307,64.4318
436,42.27,43.1145,45.64045,48.0071,52.289
437,33.7693,35.0355,36.5054,38.70935,39.8582
438,44.3048,46.7248,48.5063,51.0843,54.1113
439,35.6892,37.2067,40.8969,42.2495,43.0869
440,34.1201,36.244,36.7966,37.5325,38.5726
441,29.0524,29.8382,32.5428,36.7965,39.1812
442,40.2093,43.5329,46.1766,49.58975,51.5915
443,40.8727,42.3577,47.1402,51.9684,56.0723
444,43.4734,47.79635,50.35655,51.3636,54.1205
445,29.2851,30.7286,33.6931,35.639,38.4252
446,34.1543,36.6964,38.225,40.7314,43.5968
447,45.39,47.6738,49.9273,53.0483,54.6675
448,36.0148,38.2491,38.9611,40.0714,43.7501
449,36.7929,38.73605,41.67225,43.52855,45.45115
450,47.2168,50.2284,54.3557,57.07095,61.44645
451,52.5572,55.2405,57.5446,60.9584,62.53935
452,58.68015,63.81925,67.12115,69.4885,76.12755
453,52.84115,57.59475,62.2431,65.42975,70.2944
454,53.15205,57.2391,61.19315,66.201,71.37705
455,50.3109,54.72625,60.3719,67.50065,74.2784
456,50.7883,55.841,57.9898,60.1094,65.5457
457,45.4798,49.405,51.507,54.0316,57.6818
458,40.7843,42.5358,47.4999,49.2564,51.457
459,39.2464,43.50765,45.5222,47.22395,49.81315
460,34.27715,36.7956,38.49985,41.4783,43.5447
461,32.0066,35.514,39.2039,43.86,46.9155
462,47.4601,51.2434,54.74885,57.41675,65.79785
463,26.8183,29.0412,30.1861,31.2523,35.8623
464,72.3059,76.6749,82.6593,85.4133,91.9501
465,71.61465,75.4881,79.8601,82.92865,88.33965
466,43.4894,46.6045,48.9006,50.9308,53.8684
467,76.258,80.3026,83.7581,87.6627,93.0402
468,70.1871,74.7143,78.509,90.7861,94.8242
469,57.6177,61.82645,67.5097,70.4239,76.6546
470,65.6794,70.45175,76.2569,81.85625,87.09015
471,43.6743,46.957,49.6605,51.5152,54.8902
472,44.7199,47.6103,50.4858,54.9811,56.3672
473,44.75485,48.2424,50.7558,53.30735,56.15805
474,37.399,39.6995,41.7547,44.7573,46.9154
475,40.9047,43.3056,46.7396,50.0491,53.2618
476,35.62555,37.59165,40.2452,42.2364,45.2252
477,28.5815,29.9503,33.0745,35.7142,38.9114
478,27.3313,28.66655,31.00475,32.63075,35.7414
479,25.0987,27.1961,31.8087,34.2111,35.8931
480,23.6292,25.0744,26.9505,27.6813,29.2288
481,29.8492,32.9101,33.4398,38.8234,41.0274
482,27.4205,29.4994,31.6423,33.7602,35.36
483,36.33825,39.52305,40.653,43.68145,52.3749
484,35.2672,38.0876,40.0175,41.8993,46.3496
485,31.7635,32.5721,33.4432,34.5586,36.2798
486,18.4288,19.4621,20.3828,21.0251,22.4613
487,25.7367,27.365,28.3732,29.8913,31.5731
488,22.7744,24.0891,25.3162,26.8268,28.4686
489,26.24645,28.21275,29.91085,32.8064,33.47735
490,27.5823,29.4994,30.8661,31.8679,34.1126
491,24.9456,26.02595,27.6743,30.0946,32.46425
492,24.53135,26.35085,27.4383,28.8662,31.31185
493,22.02945,22.89385,24.40565,25.36575,26.51165
494,4.2094,4.0532,4.1421,4.3188,4.748
495,21.6913,23.2193,24.575,25.9951,27.1355
496,25.4924,27.4069,28.20145,29.3415,30.8269
497,9.7782,10.768,11.3928,12.715,13.2419
498,14.55045,15.211,15.6314,16.80165,17.53765
499,19.35055,20.1689,20.95865,22.07785,22.81005
500,19.0338,19.9515,21.2816,22.4744,22.9607
501,21.6793,22.293,23.11295,24.8389,25.99505
502,21.0895,22.45595,23.37775,25.3029,26.48665
503,6.3367,6.5435,6.9738,7.5063,8.2448
504,19.2858,20.5479,21.6448,23.0154,24.1833
505,18.1661,18.9,19.3379,20.066,21.6783
506,18.3895,19.2486,20.3467,21.0256,22.5539
507,24.5651,25.80515,27.25975,28.9038,30.4144
508,13.816,14.3576,14.988,17.1197,18.0571
509,17.6144,18.3328,19.1527,20.3623,21.1829
510,19.1126,19.7971,20.5669,21.2561,22.1847
511,19.4659,20.0545,21.1974,22.2589,23.1621
512,19.0233,19.67655,20.22585,21.5412,22.3966
513,15.1917,15.98115,17.1047,18.06705,19.1531
514,17.1668,17.76225,18.57995,19.21955,19.92975
515,14.7675,15.6504,16.4189,17.1661,17.7738
516,19.7094,21.62695,22.4938,24.27775,25.306
517,18.7157,19.5431,20.4925,21.0888,22.52
518,12.9563,13.45585,14.0083,14.7712,16.65325
519,18.6093,19.4011,20.1623,21.2374,21.8211
520,18.59915,19.7082,20.41675,21.79175,23.24885
521,20.8004,21.8583,23.5469,25.1287,26.2561
522,19.3646,20.2759,21.4012,23.31205,24.31755
523,18.01625,18.77205,19.3097,20.2739,21.4606
524,18.25755,19.24115,19.74885,20.6277,22.02545
525,15.8,16.9561,18.251,19.4803,20.5873
526,17.7524,18.8146,19.2041,20.1641,20.9788
527,21.66005,22.4704,23.5365,24.9963,26.4933
